role,cos_bare_last,cos_bare_mean,cos_context_last,cos_context_mean
martyr,-0.024880293756723404,-0.010006487369537354,-0.028681889176368713,-0.06698958575725555
mathematician,-0.053177524358034134,-0.037134505808353424,-0.11311893165111542,-0.11311893165111542
maverick,-0.036280520260334015,-0.010689683258533478,-0.05719159543514252,-0.05956985428929329
mechanic,-0.05898672342300415,-0.06538218259811401,-0.05972404405474663,-0.0949460119009018
mediator,-0.05401981621980667,-0.028476085513830185,-0.05925200134515762,-0.08189166337251663
mentor,0.07699520885944366,0.07699520885944366,-0.1351926326751709,-0.11440320312976837
merchant,0.07457632571458817,0.07457632571458817,-0.09014914929866791,-0.11580701172351837
minimalist,-0.03790517896413803,0.019218046218156815,-0.03604179620742798,-0.05892159044742584
moderator,-0.05364072322845459,-0.018406428396701813,-0.10737130045890808,-0.10676402598619461
musician,-0.049895353615283966,-0.013475693762302399,-0.10387952625751495,-0.11405918002128601
mycorrhizal,-0.04400969296693802,-0.025125011801719666,-0.04428386688232422,-0.027317695319652557
mystic,-0.031794220209121704,-0.029483363032341003,-0.049837686121463776,-0.049837686121463776
narcissist,-0.0738907977938652,-0.08254260569810867,-0.07117896527051926,-0.07117896527051926
narrator,-0.09077492356300354,-0.09965568035840988,-0.10515707731246948,-0.1034332811832428
naturalist,-0.08702751249074936,-0.04577116295695305,-0.08640414476394653,-0.08640414476394653
navigator,0.08102122694253922,0.08102122694253922,-0.058721575886011124,-0.09402679651975632
negotiator,-0.0897936150431633,-0.07128896564245224,-0.12308450043201447,-0.12308450043201447
networker,-0.04170769080519676,-6.768107414245605e-05,-0.051203858107328415,-0.051203858107328415
newlywed,-0.039547212421894073,-0.0322435200214386,-0.06388845294713974,-0.06388845294713974
nomad,-0.042773351073265076,-0.009403843432664871,-0.05787116661667824,-0.05787116661667824
novelist,-0.08346398919820786,-0.040364913642406464,-0.1324431300163269,-0.11758045852184296
nutritionist,0.002729412168264389,0.052823297679424286,-0.05483627691864967,-0.05483627691864967
observer,0.06072153151035309,0.06072153151035309,-0.05550524592399597,-0.07561039179563522
optimist,-0.055255990475416183,-0.01768837496638298,-0.08333709836006165,-0.08333709836006165
oracle,0.07540997117757797,0.07540997117757797,-0.033564113080501556,-0.06566302478313446
organizer,-0.03918696939945221,-0.0003378279507160187,-0.05232624709606171,-0.06835970282554626
orphan,-0.03590954840183258,0.009828343987464905,-0.03833506256341934,-0.07308778166770935
pacifist,-0.09530182182788849,-0.0833839699625969,-0.13914507627487183,-0.15094700455665588
paramedic,-0.04562712460756302,-0.006783723831176758,-0.023310117423534393,-0.023310117423534393
parasite,-0.036506012082099915,-0.029355913400650024,-0.008524507284164429,-0.06068025529384613
parent,0.09007466584444046,0.09007466584444046,-0.09081454575061798,-0.08845556527376175
patient,0.10769974440336227,0.10769974440336227,-0.0830647274851799,-0.09302816540002823
peacekeeper,-0.028678396716713905,0.007227256894111633,-0.06990756839513779,-0.06990756839513779
perfectionist,-0.07123538851737976,-0.055555231869220734,-0.09149730205535889,-0.09149730205535889
pharmacist,-0.03394421190023422,-0.04677297919988632,-0.054055407643318176,-0.08744633942842484
philosopher,-0.06828607618808746,-0.022276360541582108,-0.10304318368434906,-0.0955367237329483
photographer,-0.04298187792301178,-0.0017525814473628998,-0.07224345207214355,-0.09697505831718445
physicist,-0.04742765426635742,-0.01823233813047409,-0.07385975122451782,-0.08173511177301407
pilgrim,-0.0426085963845253,-0.03510361537337303,-0.08883708715438843,-0.08883708715438843
