role,alpha,steered_score_mean,norm,norm_centered
blogger,2.0,84.53508771929825,3.173158884048462,1.1797488927841187
blogger,2.5,86.26754385964912,3.173158884048462,1.1797488927841187
bohemian,1.0,47.478070175438596,3.83817458152771,1.0931885242462158
bohemian,1.5,53.76315789473684,3.83817458152771,1.0931885242462158
bohemian,2.0,63.89912280701754,3.83817458152771,1.0931885242462158
bohemian,2.5,72.89035087719299,3.83817458152771,1.0931885242462158
builder,1.0,67.8201754385965,3.746767520904541,1.5055261850357056
builder,1.5,72.36842105263158,3.746767520904541,1.5055261850357056
builder,2.0,77.77631578947368,3.746767520904541,1.5055261850357056
builder,2.5,82.39035087719299,3.746767520904541,1.5055261850357056
caregiver,1.0,72.646288209607,4.5080790519714355,1.8562661409378052
caregiver,1.5,75.79912663755458,4.5080790519714355,1.8562661409378052
caregiver,2.0,79.34497816593887,4.5080790519714355,1.8562661409378052
caregiver,2.5,72.8640350877193,4.5080790519714355,1.8562661409378052
cartographer,1.0,47.68859649122807,3.776453733444214,1.808886170387268
cartographer,1.5,51.81140350877193,3.776453733444214,1.808886170387268
cartographer,2.0,59.271929824561404,3.776453733444214,1.808886170387268
cartographer,2.5,65.35087719298245,3.776453733444214,1.808886170387268
caveman,1.0,10.482456140350877,4.436631679534912,2.1589443683624268
caveman,1.5,15.057017543859649,4.436631679534912,2.1589443683624268
caveman,2.0,26.407894736842106,4.436631679534912,2.1589443683624268
caveman,2.5,49.219298245614034,4.436631679534912,2.1589443683624268
celebrity,1.0,45.171052631578945,3.796665906906128,1.135824203491211
celebrity,1.5,52.35087719298246,3.796665906906128,1.135824203491211
celebrity,2.0,62.49561403508772,3.796665906906128,1.135824203491211
celebrity,2.5,69.52838427947599,3.796665906906128,1.135824203491211
chameleon,1.0,50.60087719298246,3.6833598613739014,1.1786712408065796
chameleon,1.5,56.75,3.6833598613739014,1.1786712408065796
chameleon,2.0,69.17543859649123,3.6833598613739014,1.1786712408065796
chameleon,2.5,81.69736842105263,3.6833598613739014,1.1786712408065796
chef,1.0,32.467248908296945,4.080557346343994,1.6054327487945557
chef,1.5,35.88209606986899,4.080557346343994,1.6054327487945557
chef,2.0,40.842794759825324,4.080557346343994,1.6054327487945557
chef,2.5,47.314410480349345,4.080557346343994,1.6054327487945557
chemist,1.0,54.3859649122807,3.3404603004455566,1.3926010131835938
chemist,1.5,56.583333333333336,3.3404603004455566,1.3926010131835938
chemist,2.0,58.35964912280702,3.3404603004455566,1.3926010131835938
chemist,2.5,61.31877729257642,3.3404603004455566,1.3926010131835938
chimera,1.0,46.3640350877193,4.02764368057251,1.7811964750289917
chimera,1.5,52.33771929824562,4.02764368057251,1.7811964750289917
chimera,2.0,68.13157894736842,4.02764368057251,1.7811964750289917
chimera,2.5,86.8640350877193,4.02764368057251,1.7811964750289917
coach,1.0,90.68181818181819,4.1718645095825195,1.8232346773147583
coach,1.5,90.18181818181819,4.1718645095825195,1.8232346773147583
coach,2.0,88.49147727272727,4.1718645095825195,1.8232346773147583
coach,2.5,81.15625,4.1718645095825195,1.8232346773147583
collaborator,1.0,89.10526315789474,3.591310501098633,1.1219115257263184
collaborator,1.5,90.23245614035088,3.591310501098633,1.1219115257263184
collaborator,2.0,90.1842105263158,3.591310501098633,1.1219115257263184
collaborator,2.5,88.05263157894737,3.591310501098633,1.1219115257263184
collector,1.0,50.20175438596491,3.2994987964630127,1.1652874946594238
collector,1.5,53.583333333333336,3.2994987964630127,1.1652874946594238
collector,2.0,58.69736842105263,3.2994987964630127,1.1652874946594238
collector,2.5,65.02631578947368,3.2994987964630127,1.1652874946594238
comedian,1.0,37.1578947368421,3.7366127967834473,1.3503758907318115
comedian,1.5,44.51315789473684,3.7366127967834473,1.3503758907318115
comedian,2.0,59.85087719298246,3.7366127967834473,1.3503758907318115
comedian,2.5,74.91228070175438,3.7366127967834473,1.3503758907318115
competitor,1.0,57.728070175438596,3.9928643703460693,1.2569618225097656
competitor,1.5,65.78508771929825,3.9928643703460693,1.2569618225097656
competitor,2.0,75.88157894736842,3.9928643703460693,1.2569618225097656
competitor,2.5,81.0701754385965,3.9928643703460693,1.2569618225097656
composer,1.0,41.8421052631579,3.44222354888916,1.4498950242996216
composer,1.5,45.20175438596491,3.44222354888916,1.4498950242996216
composer,2.0,52.19736842105263,3.44222354888916,1.4498950242996216
composer,2.5,60.10526315789474,3.44222354888916,1.4498950242996216
conservator,1.0,48.13157894736842,3.8020236492156982,1.4503257274627686
conservator,1.5,49.728070175438596,3.8020236492156982,1.4503257274627686
conservator,2.0,48.81140350877193,3.8020236492156982,1.4503257274627686
conservator,2.5,46.30263157894737,3.8020236492156982,1.4503257274627686
consultant,1.0,89.16666666666667,3.5762739181518555,1.5171571969985962
consultant,1.5,87.65789473684211,3.5762739181518555,1.5171571969985962
consultant,2.0,84.85087719298245,3.5762739181518555,1.5171571969985962
consultant,2.5,79.05701754385964,3.5762739181518555,1.5171571969985962
contrarian,1.0,47.23684210526316,3.4793078899383545,1.2553077936172485
