role,alpha,subdim,steered_mean,aa_mean,advantage
angel,2.5,vocab_choice,66.2719298245614,12.324561403508772,53.94736842105262
angel,2.5,social_dynamic,68.42105263157895,13.00438596491228,55.416666666666664
angel,2.5,motivation,71.8859649122807,23.969298245614034,47.916666666666664
angel,2.5,worldview_alignment,66.8201754385965,15.855263157894736,50.96491228070175
anthropologist,1.0,emotional_register,57.478070175438596,53.59649122807018,3.8815789473684177
anthropologist,1.0,vocab_choice,63.1140350877193,62.78508771929825,0.3289473684210549
anthropologist,1.0,social_dynamic,58.70614035087719,55.96491228070175,2.7412280701754383
anthropologist,1.0,motivation,61.20614035087719,58.771929824561404,2.4342105263157876
anthropologist,1.0,worldview_alignment,56.15350877192982,54.21052631578947,1.9429824561403493
anthropologist,1.5,emotional_register,62.14912280701754,54.14473684210526,8.00438596491228
anthropologist,1.5,vocab_choice,64.3640350877193,61.92982456140351,2.4342105263157947
anthropologist,1.5,social_dynamic,61.44736842105263,57.675438596491226,3.771929824561404
anthropologist,1.5,motivation,66.10964912280701,62.98245614035088,3.127192982456137
anthropologist,1.5,worldview_alignment,61.776315789473685,57.69736842105263,4.078947368421055
anthropologist,2.0,emotional_register,64.69298245614036,35.328947368421055,29.3640350877193
anthropologist,2.0,vocab_choice,62.87280701754386,40.76754385964912,22.10526315789474
anthropologist,2.0,social_dynamic,62.65350877192982,38.99122807017544,23.662280701754383
anthropologist,2.0,motivation,68.1798245614035,52.478070175438596,15.701754385964911
anthropologist,2.0,worldview_alignment,63.12719298245614,46.469298245614034,16.657894736842103
anthropologist,2.5,emotional_register,64.56140350877193,13.508771929824562,51.05263157894737
