role,steered_auc,aa_auc,auc_advantage,steered_monotonic,aa_monotonic,steered_peak_alpha,aa_peak_alpha,steered_slope,aa_slope,slope_advantage,steered_score_1_0,steered_score_2_5,aa_score_1_0,aa_score_2_5,steered_gain,aa_gain
mentor,88.48976608187134,67.79532163742691,20.69444444444443,False,False,1.0,1.0,-2.8114035087719387,-44.81666666666664,42.0052631578947,89.60087719298245,85.1359649122807,88.49122807017544,22.236842105263158,-4.464912280701753,-66.25438596491227
merchant,62.42251461988304,36.836257309941516,25.586257309941523,True,False,2.5,1.5,17.99824561403509,-19.952631578947365,37.95087719298245,50.723684210526315,77.40789473684211,44.6140350877193,15.701754385964913,26.684210526315795,-28.91228070175439
minimalist,37.5453216374269,50.203216374269005,-12.657894736842103,True,False,2.5,1.5,6.126315789473683,-29.1815789473684,35.30789473684209,33.46052631578947,41.969298245614034,57.11842105263158,12.916666666666666,8.508771929824562,-44.20175438596492
moderator,73.17543859649123,66.11038011695906,7.065058479532169,False,False,1.0,1.0,-13.665789473684208,-38.76315789473683,25.09736842105262,80.77631578947368,60.021929824561404,84.12280701754386,27.17982456140351,-20.75438596491228,-56.942982456140356
musician,48.15862573099415,31.807748538011698,16.350877192982455,True,False,2.5,1.5,13.932456140350867,-16.7578947368421,30.69035087719297,39.01315789473684,59.42982456140351,38.219298245614034,13.881578947368421,20.416666666666664,-24.337719298245613
mycorrhizal,72.9861111111111,50.687134502923975,22.298976608187125,True,False,2.5,1.5,21.038596491228066,-22.65526315789473,43.6938596491228,58.81578947368421,89.44298245614036,55.666666666666664,20.026315789473685,30.627192982456144,-35.64035087719298
mystic,52.2046783625731,41.58845029239766,10.616228070175438,True,False,2.5,2.0,23.792982456140336,-17.02543859649122,40.81842105263156,39.328947368421055,74.91666666666667,42.43421052631579,13.289473684210526,35.58771929824562,-29.14473684210526
narcissist,42.683479532163744,32.74269005847953,9.940789473684212,True,False,2.5,2.0,19.195614035087708,-0.3903508771929852,19.585964912280694,31.359649122807017,59.969298245614034,29.93421052631579,28.12719298245614,28.609649122807017,-1.8070175438596507
narrator,84.67690058479532,68.67616959064327,16.00073099415205,False,False,2.0,1.5,-0.01403508771929891,-45.45263157894735,45.43859649122805,84.15350877192982,83.99561403508773,84.58771929824562,13.56578947368421,-0.15789473684209554,-71.02192982456141
naturalist,44.50438596491228,31.861111111111114,12.643274853801167,True,False,2.5,1.0,4.814035087719292,-19.783333333333328,24.59736842105262,41.19298245614035,48.078947368421055,40.96052631578947,12.039473684210526,6.885964912280706,-28.921052631578945
navigator,77.25365497076025,53.82602339181287,23.427631578947384,True,False,2.5,1.0,5.7605263157894795,-35.10964912280701,40.87017543859648,72.6842105263158,81.29385964912281,69.47368421052632,17.63157894736842,8.609649122807014,-51.84210526315789
negotiator,80.8501461988304,64.94736842105264,15.902777777777757,False,False,1.0,1.0,-1.807894736842103,-41.370175438596476,39.562280701754375,81.98245614035088,79.01315789473684,82.64473684210526,21.039473684210527,-2.9692982456140413,-61.60526315789473
networker,77.84356725146198,57.666666666666664,20.176900584795312,False,False,2.0,1.5,5.891228070175435,-32.04912280701753,37.94035087719297,71.90789473684211,79.9780701754386,68.70175438596492,20.403508771929825,8.070175438596493,-48.298245614035096
newlywed,50.22222222222223,35.69078947368421,14.531432748538016,True,False,2.5,1.5,10.433333333333325,-15.075438596491226,25.50877192982455,42.06578947368421,57.54824561403509,41.18859649122807,18.596491228070175,15.482456140350877,-22.592105263157894
nomad,56.78143274853801,39.993421052631575,16.788011695906434,True,False,2.5,1.5,15.122807017543852,-17.941228070175427,33.064035087719276,46.96052631578947,69.47368421052632,45.723684210526315,19.07894736842105,22.513157894736842,-26.644736842105264
