role,alpha,steered_score,aa_score
designer,1.0,64.21929824561404,62.574561403508774
designer,1.5,66.80701754385964,62.44298245614035
designer,2.0,70.27631578947368,42.61842105263158
designer,2.5,74.68859649122807,15.43859649122807
destroyer,1.0,33.89473684210526,32.46491228070175
destroyer,1.5,38.719298245614034,34.04385964912281
destroyer,2.0,54.96052631578947,27.837719298245613
destroyer,2.5,70.71929824561404,12.192982456140351
detective,1.0,51.62719298245614,48.32017543859649
detective,1.5,56.30263157894737,48.530701754385966
detective,2.0,64.37719298245614,34.780701754385966
detective,2.5,74.64912280701755,16.00877192982456
devils_advocate,1.0,54.228070175438596,49.416666666666664
devils_advocate,1.5,60.54385964912281,48.98245614035088
devils_advocate,2.0,70.51315789473684,36.05701754385965
devils_advocate,2.5,80.74122807017544,18.596491228070175
dilettante,1.0,56.38157894736842,53.03947368421053
dilettante,1.5,67.02631578947368,56.1578947368421
dilettante,2.0,80.48245614035088,45.36842105263158
dilettante,2.5,86.3157894736842,23.399122807017545
dispatcher,1.0,61.71052631578947,62.6359649122807
dispatcher,1.5,63.84649122807018,64.21929824561404
dispatcher,2.0,65.86842105263158,46.64035087719298
dispatcher,2.5,63.01754385964912,17.390350877192983
divorcee,1.0,46.5921052631579,47.33771929824562
divorcee,1.5,51.666666666666664,50.64473684210526
divorcee,2.0,62.6359649122807,43.00877192982456
divorcee,2.5,68.08333333333333,22.785087719298247
doctor,1.0,59.71615720524017,63.7117903930131
doctor,1.5,60.61572052401747,65.2707423580786
doctor,2.0,60.24561403508772,43.6359649122807
doctor,2.5,59.38427947598253,20.283842794759824
dreamer,1.0,52.85964912280702,52.63157894736842
dreamer,1.5,61.80701754385965,58.60964912280702
dreamer,2.0,77.3859649122807,55.1578947368421
dreamer,2.5,88.94736842105263,14.802631578947368
echo,1.0,67.4780701754386,66.14912280701755
echo,1.5,71.85526315789474,67.75877192982456
echo,2.0,82.53508771929825,61.60964912280702
echo,2.5,89.79385964912281,13.868421052631579
economist,1.0,58.96491228070175,59.43859649122807
economist,1.5,59.76315789473684,59.723684210526315
economist,2.0,58.46491228070175,38.04824561403509
economist,2.5,57.92982456140351,11.885964912280702
ecosystem,1.0,50.324561403508774,49.73684210526316
ecosystem,1.5,53.75438596491228,51.4078947368421
ecosystem,2.0,60.33771929824562,41.8640350877193
ecosystem,2.5,73.77631578947368,16.228070175438596
editor,1.0,67.1359649122807,63.46491228070175
editor,1.5,68.39035087719299,63.14912280701754
editor,2.0,67.97368421052632,37.89473684210526
editor,2.5,67.00877192982456,11.842105263157896
egregore,1.0,32.07017543859649,30.19736842105263
egregore,1.5,38.026315789473685,32.23684210526316
egregore,2.0,54.276315789473685,28.74122807017544
egregore,2.5,79.85087719298245,12.324561403508772
elder,1.0,56.3421052631579,59.1140350877193
elder,1.5,60.33771929824562,62.01754385964912
elder,2.0,66.12280701754386,55.69736842105263
elder,2.5,73.37719298245614,18.385964912280702
eldritch,1.0,25.736842105263158,24.912280701754387
eldritch,1.5,31.907894736842106,28.767543859649123
eldritch,2.0,51.60964912280702,25.859649122807017
eldritch,2.5,81.14473684210526,10.692982456140351
emissary,1.0,74.21052631578948,75.19298245614036
emissary,1.5,75.28070175438596,76.68859649122807
emissary,2.0,78.54824561403508,59.93421052631579
emissary,2.5,79.37280701754386,24.092105263157894
empath,1.0,66.51965065502183,66.29257641921397
empath,1.5,70.4934497816594,72.02620087336244
empath,2.0,76.75109170305677,68.15720524017468
empath,2.5,79.89082969432314,21.572052401746724
engineer,1.0,76.46052631578948,74.82894736842105
engineer,1.5,78.49122807017544,74.11842105263158
