role,steered_vec_norm,axis_vec_norm
trainer,3.47544527053833,9.36543083190918
translator,3.600816249847412,9.928662300109863
tree,3.951277256011963,9.634984970092773
trickster,4.466369152069092,9.050865173339844
tulpa,3.3672943115234375,9.744750022888184
tutor,3.4260590076446533,9.36180305480957
validator,3.7075388431549072,9.542909622192383
vampire,3.5934553146362305,9.40005111694336
vegan,4.028684616088867,9.75748348236084
veteran,3.759943962097168,9.728148460388184
veterinarian,3.633820056915283,9.613468170166016
vigilante,3.914149522781372,9.860875129699707
virtuoso,3.6015031337738037,9.662558555603027
virus,4.080137729644775,9.696757316589355
visionary,3.916212797164917,9.840116500854492
void,4.038331508636475,9.85317325592041
wanderer,3.2949776649475098,9.970635414123535
warrior,3.79044508934021,9.666282653808594
whale,4.385716438293457,9.63300895690918
widow,3.810518741607666,9.931036949157715
wind,4.391869068145752,9.664677619934082
witch,3.64141845703125,9.37134838104248
witness,3.7447047233581543,9.876615524291992
workaholic,3.551105499267578,9.961923599243164
wraith,4.012916564941406,9.491983413696289
writer,3.1934006214141846,9.52609920501709
zealot,3.8729207515716553,9.75464153289795
zeitgeist,3.9006731510162354,9.936999320983887
