seed,split_half_corr,split_half_l2,full_corr_spearmanbrown,full_l2_spearmanbrown
110,0.9382443306346272,0.9823531310640938,0.968138346446161,0.9910980194903853
111,0.9313131485794593,0.9813349270936008,0.9644351557016728,0.9905795468241309
112,0.9368115414636818,0.981554710792243,0.9673750092956562,0.9906915064684829
113,0.9422279289276986,0.9816732864488017,0.9702547418807856,0.9907518995807627
114,0.9265793019655281,0.9790364099390486,0.961890643193578,0.9894071731294741
115,0.9460869660270685,0.9790873923030023,0.9722966984959595,0.9894332065484677
116,0.9347573122107955,0.9799824430066679,0.966278619350634,0.9898900330838617
117,0.9351253077862139,0.9812789400514161,0.9664751982971052,0.9905510225894301
118,0.9440883586392973,0.9797271315268409,0.9712401748036616,0.9897597663080345
119,0.9506675716356712,0.9834389232099906,0.974709976686103,0.9916503217738577
120,0.9330474831148593,0.9811848113338768,0.9653642668015296,0.990503062329932
121,0.9328659408978646,0.9805667392585184,0.9652670898267522,0.9901880303469315
122,0.9335514920964099,0.9812856493251628,0.9656339600081998,0.9905544409100165
123,0.9370122988253807,0.9817628210149282,0.9674820334322011,0.9907974966571771
124,0.9332912380157204,0.9799230478534853,0.9654947166404438,0.989859731079811
125,0.9461044017521113,0.9812251406598816,0.9723059059938586,0.9905236113984173
126,0.9306583531816601,0.9813754930030957,0.9640839371170631,0.9906002133050128
127,0.9323953079056294,0.983262145024539,0.9650150816358367,0.9915604424672494
128,0.9376770307741925,0.9812698055088238,0.9678362450315539,0.9905463685768098
129,0.939657100714087,0.9818720180403706,0.9688899139627836,0.990853101615737
130,0.9387456142438109,0.9811564539983796,0.968405145416625,0.9904886128687159
131,0.947777451858428,0.9812559955136122,0.973188647352014,0.9905393323584474
132,0.937794013407456,0.982043879407764,0.9678985556967639,0.9909406038994448
133,0.9384989515537132,0.9818284154686827,0.9682738809855979,0.9908308991891107
134,0.9362296462394954,0.9810002909874469,0.9670646744386142,0.9904090326997971
135,0.925065456716634,0.9798173442742729,0.961074288138143,0.9898057991136929
136,0.9336384278340856,0.9822856332298214,0.9656804647597702,0.9910636658646838
137,0.9462778145113476,0.9812488712849764,0.9723974732239651,0.9905357025122935
138,0.932879034149651,0.9828061180254007,0.9652740990695892,0.9913285107311844
139,0.9184647184957989,0.9800497541672166,0.9574997232327889,0.9899243714503658
140,0.9359083536102991,0.9787603148250199,0.9668932435411131,0.9892661657827627
141,0.9373891005985471,0.9815544582021277,0.9676828473009838,0.9906913778112321
142,0.9369121047924904,0.9827283098032537,0.9674286225733157,0.9912889274282566
143,0.9381459281279639,0.9792979637863823,0.968085957319127,0.9895407176724343
144,0.9417496634386384,0.9816011667352191,0.9700011089698317,0.9907151683327409
145,0.9353620068863077,0.9804132370560157,0.9666016006908782,0.9901097596312267
146,0.9422672275667067,0.9814720534968351,0.9702755771122075,0.9906494030685583
147,0.9458836389403839,0.9838688642207263,0.9721893128773698,0.991868849766131
148,0.9484059662334323,0.9822821736800004,0.973519874881975,0.9910619050328706
149,0.9441223897567073,0.98253611696711,0.9712581828501623,0.9911911400335011
150,0.9378336038833406,0.9818597561526938,0.9679196418144053,0.9908468579620785
151,0.9381981489589613,0.9820967945326091,0.9681137601569615,0.9909675422932044
152,0.9422437882347687,0.9831831024189666,0.9702631502208465,0.9915202496630184
153,0.9407417734508966,0.9821974628932968,0.9694661972243044,0.9910187872601159
154,0.9407090021626688,0.9836418061348731,0.9694487953777414,0.9917534537664333
155,0.9455827378929151,0.9827924503650831,0.9720303531444675,0.9913215578202608
156,0.9387923572206213,0.9787076839191446,0.9684300164731804,0.9892392816514046
157,0.9371552748291603,0.981105495228664,0.9675582406906529,0.990462645822324
158,0.9338015083684797,0.9807471714653899,0.9657676905592183,0.9902800171511206
159,0.9325045209152572,0.9789367735700149,0.965073572478487,0.9893562913624638
160,0.9546913044234364,0.9815021617719099,0.9768205365859916,0.9906647398196381
161,0.9311936821156453,0.9815663663216433,0.9643710941468199,0.9906974431986476
162,0.9385879411154684,0.9807876934446861,0.9683212416718145,0.9903006735053455
163,0.9409027967314926,0.9816662671328892,0.9695516934861302,0.9907483246946336
164,0.9381620616837192,0.9809485151330453,0.9680945471285507,0.9903826451210545
165,0.9463637556292744,0.9809954421910945,0.9724428467106424,0.9904065615679128
166,0.9466677690683081,0.9821822191664159,0.9726033215430401,0.9910110278150526
167,0.9405239683426598,0.9806053254621191,0.9693505297395854,0.990207703529548
168,0.9220709564481914,0.9818667348976651,0.9594556885164041,0.9908504114918346
169,0.93336235979024,0.9827557679394113,0.9655327725439995,0.9913028965344987
170,0.9412404471151135,0.9805641646871815,0.9697309248979387,0.9901867176740078
171,0.9373282411256043,0.9811901518624351,0.9676504179601579,0.9905057835463786
172,0.9432808275068327,0.9807906949610145,0.9708126732429424,0.9903022035150647
173,0.9398127303968167,0.9815912845806123,0.9689726391315768,0.9907101350502338
174,0.946020893423772,0.9826784825384199,0.9722618052259147,0.9912635772193366
175,0.9480683326072767,0.9825992834605743,0.9733419682854665,0.9912232811317004
176,0.9395532384689909,0.9818228843295398,0.9688346984593609,0.990828082663598
177,0.9271064539608865,0.9801617049185486,0.9621746137120286,0.9899814772540168
178,0.9350287645267882,0.9804253990988026,0.9664236332481081,0.9901159614948865
179,0.9398495646398228,0.9814029380529602,0.9689922164807943,0.9906141948263616
180,0.9421440474451195,0.980883277512746,0.9702102670340083,0.9903493947855132
181,0.9410084551429442,0.9824334813645617,0.9696077857359403,0.9911389114436532
182,0.9389713979349487,0.9797745197368593,0.9685252695681597,0.9897839475851882
183,0.9312580090087651,0.9815038326013925,0.9644055891700782,0.9906655909040938
184,0.9435727829018244,0.9812515643081674,0.9709672734694671,0.9905370746302076
185,0.939502499036783,0.9802915951136415,0.9688077220868434,0.9900477258324032
186,0.933623543537184,0.9817645988146511,0.9656725029622916,0.9907984019917118
187,0.9384192706686176,0.980552419508024,0.9682314707332943,0.9901807292246236
188,0.939269726684245,0.9816769190387438,0.9686839471167369,0.990753749622242
189,0.9365174014193801,0.982791650887438,0.967218162597408,0.9913211511129473
190,0.9384878677097587,0.9802053401140771,0.9682679818043354,0.9900037337113824
191,0.9371920290722517,0.9803792725959638,0.9675778291541763,0.9900924395263355
192,0.9456572406770581,0.982499389035059,0.9720697159875749,0.9911724507650622
193,0.9369988451546869,0.981542065996812,0.9674748619479523,0.9906850657778477
194,0.9434377959155124,0.9809538551378555,0.9708957990817285,0.9903853667198022
195,0.9446334846486968,0.9819303187150018,0.9715285601176896,0.9908827867890362
196,0.937592721141149,0.9811974891032117,0.9677913329370395,0.9905095221449634
197,0.9413536643434565,0.9803442772123984,0.9697910088544442,0.9900745930827393
198,0.9342140183587034,0.9815900178917687,0.9659882613728962,0.9907094898833726
199,0.9436727011583194,0.9823181175142843,0.9710201728881037,0.9910801993234629
