role,alpha,method,score,start_score,gap_to_baseline,gap_closed
amnesiac,2.0,assistant_axis,42.31140350877193,37.28947368421053,46.68859649122807,0.09711620016963529
amnesiac,2.5,steered,79.15350877192982,39.49561403508772,9.846491228070178,0.8010986090192256
amnesiac,2.5,assistant_axis,26.38157894736842,37.28947368421053,62.618421052631575,-0.21094147582697204
analyst,1.0,steered,86.3201754385965,86.3201754385965,2.6798245614035068,0.0
analyst,1.0,assistant_axis,85.9342105263158,85.9342105263158,3.0657894736842053,0.0
analyst,1.5,steered,85.31140350877193,86.3201754385965,3.6885964912280684,-0.3764320785597385
analyst,1.5,assistant_axis,82.69298245614036,85.9342105263158,6.307017543859644,-1.0572246065808315
analyst,2.0,steered,84.50877192982456,86.3201754385965,4.491228070175438,-0.6759410801964005
analyst,2.0,assistant_axis,54.62280701754386,85.9342105263158,34.37719298245614,-10.21316165951361
analyst,2.5,steered,81.89035087719299,86.3201754385965,7.1096491228070136,-1.6530278232405897
analyst,2.5,assistant_axis,17.960526315789473,85.9342105263158,71.03947368421052,-22.17167381974253
anarchist,1.0,steered,30.385964912280706,30.385964912280706,58.614035087719294,0.0
anarchist,1.0,assistant_axis,30.70614035087719,30.70614035087719,58.29385964912281,0.0
anarchist,1.5,steered,36.57017543859649,30.385964912280706,52.42982456140351,0.10550733313379225
anarchist,1.5,assistant_axis,34.01315789473684,30.70614035087719,54.98684210526316,0.05673011812504705
anarchist,2.0,steered,45.64912280701754,30.385964912280706,43.35087719298246,0.2604010775217
anarchist,2.0,assistant_axis,28.98245614035088,30.70614035087719,60.01754385964912,-0.02956888119780295
anarchist,2.5,steered,57.3421052631579,30.385964912280706,31.657894736842103,0.45989224782999105
anarchist,2.5,assistant_axis,15.043859649122806,30.70614035087719,73.95614035087719,-0.2686780528176962
ancient,1.0,steered,42.99561403508772,42.99561403508772,46.00438596491228,0.0
ancient,1.0,assistant_axis,44.6359649122807,44.6359649122807,44.3640350877193,0.0
ancient,1.5,steered,44.26315789473684,42.99561403508772,44.73684210526316,0.027552674230145877
ancient,1.5,assistant_axis,48.1140350877193,44.6359649122807,40.8859649122807,0.07839841819080587
ancient,2.0,steered,47.98684210526316,42.99561403508772,41.01315789473684,0.10849461340451902
ancient,2.0,assistant_axis,40.04824561403509,44.6359649122807,48.95175438596491,-0.10341077607513582
ancient,2.5,steered,51.083333333333336,42.99561403508772,37.916666666666664,0.17580322242349133
ancient,2.5,assistant_axis,11.614035087719298,44.6359649122807,77.3859649122807,-0.744340088976767
angel,1.0,steered,65.93859649122807,65.93859649122807,23.06140350877193,0.0
angel,1.0,assistant_axis,66.99122807017544,66.99122807017544,22.00877192982456,0.0
angel,1.5,steered,72.46929824561404,65.93859649122807,16.53070175438596,0.28318752377329814
angel,1.5,assistant_axis,71.49561403508773,66.99122807017544,17.504385964912274,0.2046632124352335
angel,2.0,steered,82.94298245614036,65.93859649122807,6.057017543859644,0.7373526055534426
angel,2.0,assistant_axis,62.37719298245614,66.99122807017544,26.622807017543863,-0.2096452770027901
angel,2.5,steered,89.60087719298245,65.93859649122807,-0.6008771929824519,1.026055534423735
angel,2.5,assistant_axis,18.33333333333333,66.99122807017544,70.66666666666667,-2.2108409724990037
anthropologist,1.0,steered,61.75438596491228,61.75438596491228,27.24561403508772,0.0
anthropologist,1.0,assistant_axis,60.86842105263158,60.86842105263158,28.131578947368418,0.0
anthropologist,1.5,steered,65.48684210526316,61.75438596491228,23.513157894736835,0.13699291693496482
anthropologist,1.5,assistant_axis,61.10087719298246,60.86842105263158,27.89912280701754,0.00826317430620516
anthropologist,2.0,steered,71.15789473684211,61.75438596491228,17.84210526315789,0.34513844172569236
anthropologist,2.0,assistant_axis,47.55701754385965,60.86842105263158,41.44298245614035,-0.4731836607421267
anthropologist,2.5,steered,75.2280701754386,61.75438596491228,13.771929824561397,0.49452672247263385
anthropologist,2.5,assistant_axis,17.214912280701753,60.86842105263158,71.78508771929825,-1.551761771125663
archaeologist,1.0,steered,44.71491228070175,44.71491228070175,44.28508771929825,0.0
archaeologist,1.0,assistant_axis,41.90350877192982,41.90350877192982,47.09649122807018,0.0
archaeologist,1.5,steered,48.62719298245614,44.71491228070175,40.37280701754386,0.08834307219966321
archaeologist,1.5,assistant_axis,42.73245614035088,41.90350877192982,46.26754385964912,0.017601043024771886
archaeologist,2.0,steered,53.14035087719298,44.71491228070175,35.85964912280702,0.19025453104882634
archaeologist,2.0,assistant_axis,28.76315789473684,41.90350877192982,60.236842105263165,-0.2790091264667536
archaeologist,2.5,steered,58.15350877192982,44.71491228070175,30.846491228070178,0.3034564722194711
archaeologist,2.5,assistant_axis,14.276315789473683,41.90350877192982,74.72368421052632,-0.5866083069472899
architect,1.0,steered,54.61572052401747,54.61572052401747,34.38427947598253,0.0
architect,1.0,assistant_axis,56.1528384279476,56.1528384279476,32.8471615720524,0.0
architect,1.5,steered,56.11353711790393,54.61572052401747,32.88646288209607,0.04356108712217422
architect,1.5,assistant_axis,56.38864628820961,56.1528384279476,32.61135371179039,0.007178941770805579
architect,2.0,steered,57.39737991266376,54.61572052401747,31.60262008733624,0.08089916179832364
architect,2.0,assistant_axis,37.109170305676855,56.1528384279476,51.890829694323145,-0.5797660196756182
architect,2.5,steered,58.49561403508772,54.61572052401747,30.50438596491228,0.11283916866079341
architect,2.5,assistant_axis,13.771929824561404,56.1528384279476,75.2280701754386,-1.29024568866996
archivist,1.0,steered,59.04824561403509,59.04824561403509,29.95175438596491,0.0
archivist,1.0,assistant_axis,50.44298245614035,50.44298245614035,38.55701754385965,0.0
archivist,1.5,steered,62.48684210526316,59.04824561403509,26.513157894736842,0.11480451017718547
archivist,1.5,assistant_axis,52.10526315789474,50.44298245614035,36.89473684210526,0.043112273916505635
archivist,2.0,steered,71.85526315789474,59.04824561403509,17.14473684210526,0.42758822668033397
archivist,2.0,assistant_axis,36.60526315789474,50.44298245614035,52.39473684210526,-0.35888977363212365
archivist,2.5,steered,78.8640350877193,59.04824561403509,10.135964912280699,0.6615902767608728
archivist,2.5,assistant_axis,13.157894736842104,50.44298245614035,75.84210526315789,-0.9670117165282676
artisan,1.0,steered,56.49781659388646,56.49781659388646,32.50218340611354,0.0
artisan,1.0,assistant_axis,55.60698689956332,55.60698689956332,33.39301310043668,0.0
