role,steered_score__alpha_1.0,cmp_emotional_register__alpha_1.0,cmp_vocab_choice__alpha_1.0,cmp_social_dynamic__alpha_1.0,cmp_motivation__alpha_1.0,cmp_worldview_alignment__alpha_1.0,steered_score__alpha_1.5,cmp_emotional_register__alpha_1.5,cmp_vocab_choice__alpha_1.5,cmp_social_dynamic__alpha_1.5,cmp_motivation__alpha_1.5,cmp_worldview_alignment__alpha_1.5,steered_score__alpha_2.0,cmp_emotional_register__alpha_2.0,cmp_vocab_choice__alpha_2.0,cmp_social_dynamic__alpha_2.0,cmp_motivation__alpha_2.0,cmp_worldview_alignment__alpha_2.0,steered_score__alpha_2.5,cmp_emotional_register__alpha_2.5,cmp_vocab_choice__alpha_2.5,cmp_social_dynamic__alpha_2.5,cmp_motivation__alpha_2.5,cmp_worldview_alignment__alpha_2.5
coordinator,82.60526315789474,69.12280701754386,71.42543859649123,67.21491228070175,73.5219298245614,71.35087719298245,82.64473684210526,69.91228070175438,69.10087719298245,67.39035087719299,75.92105263157895,73.1140350877193,81.91266375545851,64.64192139737992,61.78165938864629,61.38864628820961,71.95633187772926,68.41048034934498,75.39301310043668,55.327510917030565,50.30567685589519,52.64192139737991,63.23144104803494,58.995633187772924
coral_reef,60.530701754385966,34.25438596491228,44.01315789473684,39.12280701754386,42.78508771929825,34.978070175438596,68.85526315789474,43.61842105263158,49.64912280701754,46.79824561403509,51.82017543859649,43.828947368421055,79.54385964912281,57.23684210526316,58.81578947368421,58.24561403508772,63.48684210526316,56.723684210526315,91.00438596491227,74.82456140350877,71.46929824561404,73.5,77.7719298245614,74.22368421052632
cosmopolitan,79.32894736842105,66.2280701754386,72.87280701754386,67.82894736842105,75.81140350877193,72.3859649122807,82.08771929824562,70.32894736842105,72.54385964912281,70.21929824561404,78.85964912280701,74.90350877192982,82.46929824561404,70.70175438596492,69.69298245614036,69.64912280701755,77.76315789473684,73.68859649122807,80.79824561403508,65.37280701754386,62.478070175438596,62.98245614035088,72.91666666666667,68.1798245614035
counselor,78.5,63.04824561403509,68.57456140350877,65.08771929824562,71.97368421052632,68.85964912280701,80.86842105263158,67.21491228070175,68.6842105263158,67.01754385964912,73.79385964912281,70.89912280701755,80.46052631578948,68.37719298245614,66.73245614035088,66.84210526315789,74.91228070175438,71.38157894736842,80.60087719298245,68.1359649122807,63.1359649122807,64.86842105263158,72.84210526315789,68.78508771929825
criminal,26.70614035087719,14.18859649122807,16.79824561403509,13.903508771929825,17.960526315789473,12.324561403508772,33.95614035087719,21.11842105263158,22.894736842105264,19.473684210526315,23.50877192982456,17.785087719298247,54.95614035087719,36.62280701754386,38.07017543859649,33.70614035087719,41.53508771929825,34.3640350877193,75.4780701754386,51.53508771929825,51.8640350877193,48.75,54.166666666666664,49.166666666666664
critic,69.73799126637554,50.17467248908297,57.86026200873363,50.34934497816594,59.43231441048035,53.493449781659386,71.23580786026201,54.75982532751092,58.73362445414847,52.40174672489083,63.056768558951966,56.61572052401747,73.3859649122807,55.96491228070175,56.20614035087719,52.19298245614035,65.59210526315789,58.48684210526316,74.88646288209607,57.248908296943235,52.64192139737991,52.40174672489083,65.37117903930131,59.62882096069869
crystalline,69.9780701754386,48.771929824561404,62.916666666666664,53.61842105263158,59.62719298245614,54.166666666666664,75.80263157894737,56.425438596491226,68.48684210526316,61.074561403508774,67.29385964912281,62.60087719298246,83.40350877192982,65.6140350877193,72.4342105263158,67.19298245614036,72.71052631578948,68.87280701754386,90.64473684210526,76.8859649122807,78.67543859649123,75.87719298245614,78.55263157894737,76.66228070175438
curator,58.69736842105263,58.728070175438596,61.8421052631579,57.87280701754386,60.89912280701754,57.324561403508774,60.99122807017544,60.04385964912281,59.89035087719298,57.324561403508774,63.68421052631579,58.969298245614034,62.43421052631579,59.23245614035088,56.64473684210526,55.26315789473684,62.171052631578945,57.36842105263158,62.833333333333336,57.03947368421053,51.33771929824562,52.56578947368421,61.26315789473684,55.76754385964912
cyborg,50.67982456140351,26.42543859649123,37.14912280701754,31.38157894736842,43.59649122807018,33.07017543859649,57.75877192982456,34.166666666666664,42.85087719298246,36.16228070175438,50.70175438596491,40.46052631578947,72.8157894736842,45.78947368421053,50.328947368421055,46.33771929824562,60.5921052631579,51.33771929824562,87.51315789473684,62.083333333333336,61.60087719298246,60.5921052631579,69.12280701754386,62.87280701754386
cynic,38.21052631578947,15.131578947368421,30.94298245614035,24.013157894736842,20.109649122807017,13.24561403508772,42.65350877192982,17.982456140350877,32.521929824561404,27.039473684210527,25.13157894736842,17.30263157894737,52.45614035087719,26.31578947368421,39.64912280701754,33.35526315789474,33.24561403508772,25.37280701754386,67.48684210526316,36.8421052631579,46.60087719298246,41.8640350877193,43.04824561403509,36.16228070175438
