role,steered_peak_alpha,steered_peak_score,aa_peak_alpha,aa_peak_score,peak_advantage,steered_wins
librarian,1.5,71.89035087719299,1.0,72.04385964912281,-0.15350877192982182,False
linguist,2.5,54.78508771929825,1.0,46.19298245614035,8.592105263157897,True
loner,2.5,62.219298245614034,1.5,43.48684210526316,18.732456140350877,True
luddite,2.5,50.17982456140351,1.5,35.15350877192982,15.026315789473685,True
marketer,2.5,66.76315789473684,1.5,65.04824561403508,1.7149122807017534,True
martyr,2.5,63.08771929824562,2.0,42.26754385964912,20.820175438596493,True
mathematician,2.5,71.00438596491227,1.5,57.6578947368421,13.346491228070171,True
maverick,2.5,89.8640350877193,1.5,50.60964912280702,39.25438596491228,True
mechanic,2.5,66.92105263157895,1.5,37.70175438596491,29.219298245614034,True
mediator,2.0,83.40789473684211,1.5,85.4780701754386,-2.0701754385964932,False
mentor,1.0,89.60087719298245,1.0,88.49122807017544,1.1096491228070136,True
merchant,2.5,77.40789473684211,1.5,46.68859649122807,30.71929824561404,True
minimalist,2.5,41.969298245614034,1.5,64.44736842105263,-22.478070175438596,False
moderator,1.0,80.77631578947368,1.0,84.12280701754386,-3.346491228070178,False
musician,2.5,59.42982456140351,1.5,40.07456140350877,19.35526315789474,True
mycorrhizal,2.5,89.44298245614036,1.5,60.28508771929825,29.15789473684211,True
mystic,2.5,74.91666666666667,2.0,49.60526315789474,25.31140350877193,True
narcissist,2.5,59.969298245614034,2.0,36.333333333333336,23.6359649122807,True
narrator,2.0,85.1798245614035,1.5,85.57456140350877,-0.39473684210526017,False
naturalist,2.5,48.078947368421055,1.0,40.96052631578947,7.118421052631582,True
navigator,2.5,81.29385964912281,1.0,69.47368421052632,11.820175438596493,True
negotiator,1.0,81.98245614035088,1.0,82.64473684210526,-0.6622807017543835,False
networker,2.0,81.41666666666667,1.5,71.89912280701755,9.517543859649123,True
newlywed,2.5,57.54824561403509,1.5,42.39035087719298,15.15789473684211,True
nomad,2.5,69.47368421052632,1.5,48.675438596491226,20.79824561403509,True
novelist,2.5,73.0,1.5,56.583333333333336,16.416666666666664,True
nutritionist,1.5,42.48684210526316,1.5,48.57017543859649,-6.083333333333336,False
observer,2.5,90.03508771929825,1.0,77.16666666666667,12.868421052631575,True
optimist,2.0,83.14410480349345,1.5,80.29694323144105,2.8471615720524,True
oracle,2.5,76.04385964912281,1.5,47.73684210526316,28.30701754385965,True
organizer,2.0,80.24122807017544,1.0,75.87719298245614,4.3640350877193015,True
orphan,2.5,72.49561403508773,1.5,48.54385964912281,23.951754385964918,True
pacifist,2.5,72.85526315789474,1.5,80.35087719298245,-7.495614035087712,False
paramedic,2.5,66.00438596491227,1.5,50.9078947368421,15.096491228070171,True
parasite,2.5,61.44298245614035,1.5,23.17105263157895,38.2719298245614,True
parent,2.5,68.99561403508773,1.5,59.3421052631579,9.653508771929829,True
patient,2.5,75.20614035087719,1.5,65.23684210526316,9.969298245614027,True
peacekeeper,1.5,85.03508771929825,1.5,87.0657894736842,-2.0307017543859587,False
perfectionist,2.5,81.65350877192982,1.0,70.87280701754386,10.780701754385959,True
pharmacist,1.0,58.29824561403509,1.5,61.81140350877193,-3.5131578947368425,False
philosopher,2.5,69.04366812227074,1.5,71.07423580786026,-2.030567685589517,False
photographer,2.5,49.0921052631579,1.5,40.62719298245614,8.46491228070176,True
physicist,2.5,66.84210526315789,1.0,42.00438596491228,24.83771929824561,True
pilgrim,2.5,48.37280701754386,2.0,46.14912280701754,2.223684210526322,True
pilot,2.5,64.80701754385964,1.5,49.280701754385966,15.526315789473678,True
pirate,2.5,55.44736842105263,1.5,19.05701754385965,36.39035087719298,True
planner,1.0,84.12719298245614,1.0,83.50438596491227,0.6228070175438631,True
playwright,2.5,84.03508771929825,1.5,48.60087719298246,35.43421052631579,True
podcaster,2.5,83.3201754385965,1.5,69.07456140350877,14.245614035087726,True
