O*NET-SOC Code	Element Name
19-4099.01	Monitoring
19-4099.01	Complex Problem Solving
19-4099.01	Quality Control Analysis
19-4099.03	Reading Comprehension
19-4099.03	Active Listening
19-4099.03	Speaking
19-4099.03	Mathematics
19-4099.03	Critical Thinking
21-1011.00	Reading Comprehension
21-1011.00	Active Listening
21-1011.00	Speaking
21-1011.00	Critical Thinking
21-1011.00	Social Perceptiveness
21-1012.00	Reading Comprehension
21-1012.00	Active Listening
21-1012.00	Speaking
21-1012.00	Social Perceptiveness
21-1012.00	Service Orientation
21-1013.00	Reading Comprehension
21-1013.00	Active Listening
21-1013.00	Writing
21-1013.00	Speaking
21-1013.00	Social Perceptiveness
21-1015.00	Active Listening
21-1015.00	Speaking
21-1015.00	Monitoring
21-1015.00	Social Perceptiveness
21-1015.00	Service Orientation
21-1021.00	Reading Comprehension
21-1021.00	Active Listening
21-1021.00	Speaking
21-1021.00	Critical Thinking
21-1021.00	Social Perceptiveness
21-1023.00	Reading Comprehension
21-1023.00	Active Listening
21-1023.00	Speaking
21-1023.00	Critical Thinking
21-1023.00	Social Perceptiveness
21-1091.00	Active Listening
21-1091.00	Writing
21-1091.00	Speaking
21-1091.00	Active Learning
21-1091.00	Learning Strategies
21-1092.00	Reading Comprehension
21-1092.00	Active Listening
21-1092.00	Speaking
21-1092.00	Critical Thinking
21-1092.00	Social Perceptiveness
21-1093.00	Reading Comprehension
21-1093.00	Active Listening
21-1093.00	Speaking
21-1093.00	Social Perceptiveness
21-1093.00	Service Orientation
21-1094.00	Reading Comprehension
21-1094.00	Active Listening
21-1094.00	Writing
21-1094.00	Speaking
21-1094.00	Social Perceptiveness
21-2011.00	Active Listening
21-2011.00	Speaking
21-2011.00	Social Perceptiveness
21-2011.00	Instructing
21-2011.00	Service Orientation
21-2021.00	Reading Comprehension
21-2021.00	Active Listening
21-2021.00	Speaking
21-2021.00	Critical Thinking
21-2021.00	Social Perceptiveness
23-1011.00	Reading Comprehension
23-1011.00	Active Listening
23-1011.00	Writing
23-1011.00	Speaking
23-1011.00	Critical Thinking
23-1012.00	Reading Comprehension
23-1012.00	Active Listening
23-1012.00	Writing
23-1012.00	Speaking
23-1012.00	Critical Thinking
23-1021.00	Reading Comprehension
23-1021.00	Active Listening
23-1021.00	Writing
23-1021.00	Critical Thinking
23-1021.00	Judgment and Decision Making
23-1023.00	Reading Comprehension
23-1023.00	Active Listening
23-1023.00	Writing
23-1023.00	Critical Thinking
23-1023.00	Judgment and Decision Making
23-2011.00	Reading Comprehension
23-2011.00	Active Listening
23-2011.00	Writing
23-2011.00	Speaking
23-2011.00	Critical Thinking
23-2093.00	Reading Comprehension
23-2093.00	Active Listening
23-2093.00	Writing
23-2093.00	Speaking
23-2093.00	Critical Thinking
25-1011.00	Reading Comprehension
25-1011.00	Active Listening
25-1011.00	Writing
25-1011.00	Speaking
25-1011.00	Instructing
25-1021.00	Reading Comprehension
25-1021.00	Active Listening
25-1021.00	Writing
25-1021.00	Speaking
25-1021.00	Instructing
25-1022.00	Reading Comprehension
25-1022.00	Active Listening
25-1022.00	Speaking
25-1022.00	Mathematics
25-1022.00	Instructing
25-1031.00	Reading Comprehension
25-1031.00	Active Listening
25-1031.00	Speaking
25-1031.00	Learning Strategies
25-1031.00	Instructing
25-1032.00	Reading Comprehension
25-1032.00	Active Listening
25-1032.00	Speaking
25-1032.00	Learning Strategies
25-1032.00	Instructing
25-1041.00	Reading Comprehension
25-1041.00	Active Listening
25-1041.00	Speaking
25-1041.00	Learning Strategies
25-1041.00	Instructing
25-1042.00	Reading Comprehension
25-1042.00	Active Listening
25-1042.00	Speaking
25-1042.00	Learning Strategies
25-1042.00	Instructing
25-1043.00	Reading Comprehension
25-1043.00	Active Listening
25-1043.00	Writing
25-1043.00	Learning Strategies
25-1043.00	Instructing
25-1051.00	Reading Comprehension
25-1051.00	Active Listening
25-1051.00	Writing
25-1051.00	Speaking
25-1051.00	Science
25-1052.00	Reading Comprehension
25-1052.00	Active Listening
25-1052.00	Writing
25-1052.00	Speaking
25-1052.00	Science
25-1053.00	Reading Comprehension
25-1053.00	Active Listening
25-1053.00	Writing
25-1053.00	Speaking
25-1053.00	Science
25-1054.00	Reading Comprehension
25-1054.00	Active Listening
25-1054.00	Speaking
25-1054.00	Science
25-1054.00	Instructing
25-1062.00	Reading Comprehension
25-1062.00	Active Listening
25-1062.00	Writing
25-1062.00	Speaking
25-1062.00	Instructing
25-1063.00	Reading Comprehension
25-1063.00	Active Listening
25-1063.00	Writing
25-1063.00	Speaking
25-1063.00	Instructing
25-1064.00	Reading Comprehension
25-1064.00	Active Listening
25-1064.00	Writing
25-1064.00	Speaking
25-1064.00	Instructing
25-1065.00	Reading Comprehension
25-1065.00	Active Listening
25-1065.00	Writing
25-1065.00	Speaking
25-1065.00	Active Learning
25-1066.00	Reading Comprehension
25-1066.00	Active Listening
25-1066.00	Speaking
25-1066.00	Learning Strategies
25-1066.00	Instructing
25-1067.00	Reading Comprehension
25-1067.00	Active Listening
25-1067.00	Writing
25-1067.00	Speaking
25-1067.00	Learning Strategies
25-1071.00	Reading Comprehension
25-1071.00	Active Listening
25-1071.00	Writing
25-1071.00	Speaking
25-1071.00	Instructing
25-1072.00	Reading Comprehension
25-1072.00	Active Listening
25-1072.00	Speaking
25-1072.00	Learning Strategies
25-1072.00	Instructing
25-1081.00	Reading Comprehension
25-1081.00	Active Listening
25-1081.00	Speaking
25-1081.00	Learning Strategies
25-1081.00	Instructing
25-1082.00	Reading Comprehension
25-1082.00	Active Listening
25-1082.00	Writing
25-1082.00	Speaking
25-1082.00	Instructing
25-1111.00	Reading Comprehension
25-1111.00	Active Listening
25-1111.00	Writing
25-1111.00	Speaking
25-1111.00	Critical Thinking
25-1112.00	Reading Comprehension
25-1112.00	Active Listening
25-1112.00	Speaking
25-1112.00	Learning Strategies
25-1112.00	Instructing
25-1113.00	Reading Comprehension
25-1113.00	Active Listening
25-1113.00	Speaking
25-1113.00	Learning Strategies
25-1113.00	Instructing
25-1121.00	Reading Comprehension
25-1121.00	Active Listening
25-1121.00	Speaking
25-1121.00	Learning Strategies
25-1121.00	Instructing
25-1122.00	Reading Comprehension
25-1122.00	Active Listening
25-1122.00	Writing
25-1122.00	Speaking
25-1122.00	Instructing
25-1123.00	Reading Comprehension
25-1123.00	Active Listening
25-1123.00	Writing
25-1123.00	Speaking
25-1123.00	Instructing
25-1124.00	Reading Comprehension
25-1124.00	Active Listening
25-1124.00	Writing
25-1124.00	Speaking
25-1124.00	Learning Strategies
25-1125.00	Reading Comprehension
25-1125.00	Active Listening
25-1125.00	Writing
25-1125.00	Speaking
25-1125.00	Learning Strategies
25-1126.00	Reading Comprehension
25-1126.00	Active Listening
25-1126.00	Writing
25-1126.00	Speaking
25-1126.00	Instructing
25-1192.00	Reading Comprehension
25-1192.00	Active Listening
25-1192.00	Speaking
25-1192.00	Learning Strategies
25-1192.00	Instructing
25-1193.00	Reading Comprehension
25-1193.00	Active Listening
25-1193.00	Writing
25-1193.00	Speaking
25-1193.00	Instructing
25-1194.00	Reading Comprehension
25-1194.00	Active Listening
25-1194.00	Speaking
25-1194.00	Learning Strategies
25-1194.00	Instructing
25-2011.00	Reading Comprehension
25-2011.00	Active Listening
25-2011.00	Speaking
25-2011.00	Learning Strategies
25-2011.00	Instructing
25-2012.00	Active Listening
25-2012.00	Speaking
25-2012.00	Learning Strategies
25-2012.00	Social Perceptiveness
25-2012.00	Instructing
25-2021.00	Active Listening
25-2021.00	Speaking
25-2021.00	Critical Thinking
25-2021.00	Learning Strategies
25-2021.00	Instructing
25-2022.00	Reading Comprehension
25-2022.00	Active Listening
25-2022.00	Speaking
25-2022.00	Learning Strategies
25-2022.00	Instructing
25-2023.00	Reading Comprehension
25-2023.00	Active Listening
25-2023.00	Speaking
25-2023.00	Learning Strategies
25-2023.00	Instructing
25-2031.00	Reading Comprehension
25-2031.00	Active Listening
25-2031.00	Speaking
25-2031.00	Learning Strategies
25-2031.00	Instructing
25-2032.00	Reading Comprehension
25-2032.00	Active Listening
25-2032.00	Speaking
25-2032.00	Learning Strategies
25-2032.00	Instructing
25-2051.00	Reading Comprehension
25-2051.00	Active Listening
25-2051.00	Speaking
25-2051.00	Critical Thinking
25-2051.00	Social Perceptiveness
